Serial_number,page 1,page 2,page 3,page 4,page 5,desired page score,Scaled ,Final
181,0.0048828125,0,33.33007813,0,66.66503906,66.66503906,6.666503906,6.67
182,2.98E-05,39.99940157,20.00233173,1.19E-06,39.9982357,39.9982357,3.99982357,4
183,1.19E-06,39.99706984,19.99951124,0,40.00341773,40.00341773,4.000341773,4
184,11.76498889,35.29679095,23.52803204,0,29.41018811,29.41018811,2.941018811,2.94
185,0.003831651993,0.000203452073,0.0004068994895,0,99.995558,99.995558,9.9995558,10
186,23.63795998,14.54476186,21.81683146,12.72641432,27.27403238,27.27403238,2.727403238,2.73
187,19.14731312,17.02245616,25.53282399,6.382730384,31.91467635,31.91467635,3.191467635,3.19
188,13.04267556,17.39149872,34.78099964,8.694699826,26.09012625,26.09012625,2.609012625,2.61
189,7.691292597,20.51384394,20.51384394,5.128067551,46.15295197,46.15295197,4.615295197,4.62
190,5.262474296,21.05398,21.05398,5.262474296,47.36709141,47.36709141,4.736709141,4.74
191,7.45E-08,33.33496086,7.45E-08,0,66.66503899,66.66503899,6.666503899,6.67
192,0.02403901978,0.03428652442,99.8637354,0.03274986489,0.04518919192,0.04518919192,0.004518919192,0
193,0,11.1106976,11.1106976,44.44116055,33.33744425,33.33744425,3.333744425,3.33
194,0,0.0003051757813,0.0003051757813,0.0003051757813,99.99908447,99.99908447,9.999908447,10
195,49.99418895,0.003263023336,0,0.008359082585,49.99418895,49.99418895,4.999418895,5
196,44.99227469,0.004338135145,1.72E-08,0.01111247418,54.99227468,54.99227468,5.499227468,5.5
197,26.66656494,36.66504078,0.003048315806,0.0003051757813,36.66504078,36.66504078,3.666504078,3.67
198,99.94912832,0.007677099757,0,0.02668181708,0.01651275896,0.01651275896,0.001651275896,0
199,11.10996561,11.10996561,0,44.44577029,33.33429848,33.33429848,3.333429848,3.33
200,0.0003051757813,0.0003051757813,20,0.0003051757813,79.99908447,79.99908447,7.999908447,8
